FID,city_jjk,countrynam,longitude,latitude,mortality
0,BRAUNAU,Austria,13.044320106500001,48.255729675300003,50.000000000000000
1,NEUBERG,Austria,16.259649276699999,47.168964385999999,66.000000000000000
2,WIEN,Austria,16.373818900000000,48.208174300000003,49.500000000000000
3,ANTWERPEN,Belgium,4.402464300000000,51.219447500000001,22.500000000000000
4,ATH,Belgium,3.776992000000000,50.630430199999999,16.000000000000000
5,BRUGGE,Belgium,3.224699500000000,51.209347999999999,22.500000000000000
6,BRUXELLES,Belgium,4.351710300000000,50.850339599999998,22.500000000000000
7,GENT,Belgium,3.717424300000000,51.054342200000001,22.500000000000000
8,IEPER,Belgium,2.877938800000000,50.849226500000000,22.500000000000000
9,LEUVEN,Belgium,4.704328000000000,50.877571000000003,5.000000000000000
10,LIEGE,Belgium,5.579666200000000,50.632557400000003,5.000000000000000
11,TOURNAI,Belgium,3.387933800000000,50.605647500000003,30.000000000000000
12,TURNHOUT,Belgium,4.937557700000000,51.321650900000002,20.000000000000000
13,PRAHA,Czech Republic,14.437800500000000,50.075538100000003,10.000000000000000
14,AIX,France,5.447427000000000,43.529741999999999,45.000000000000000
15,AJACCIO,France,8.738635000000000,41.919229000000001,67.000000000000000
16,ALBI,France,2.146343000000000,43.926895999999999,55.000000000000000
17,AMIENS,France,2.295753000000000,49.894067000000000,50.000000000000000
18,ANGERS,France,-0.563166000000000,47.478419000000002,25.000000000000000
19,ANNECY,France,6.129384000000000,45.899247000000003,50.000000000000000
20,APT,France,5.395439000000000,43.876452000000000,52.000000000000000
21,ARLES,France,4.627502000000000,43.676675000000003,50.000000000000000
22,ARRAS,France,2.777535000000000,50.291001999999999,5.000000000000000
23,AVIGNON,France,4.805528000000000,43.949317000000001,50.000000000000000
24,BEZIERS,France,3.215795000000000,43.344233000000003,50.000000000000000
25,BORDEAUX,France,-0.579180000000000,44.837789000000001,40.000000000000000
26,CAEN,France,-0.370679000000000,49.182862999999998,45.000000000000000
27,CAJARC,France,1.843271017070000,44.484828948999997,50.000000000000000
28,CARCASSONNE,France,2.353663000000000,43.212161000000002,40.000000000000000
29,CARPENTRAS,France,5.048722000000000,44.055563900000003,5.000000000000000
30,CASTRES,France,2.241295000000000,43.606214000000001,57.000000000000000
31,CHAMBERY,France,5.917781000000000,45.564601000000003,59.000000000000000
32,DIGNE,France,6.235976000000000,44.092193000000002,41.000000000000000
33,DOUAI,France,3.080602000000000,50.367874000000000,5.000000000000000
34,FRESNOIS-LA-MONTAGNE,France,5.646752834320000,49.494289398200003,17.500000000000000
35,GIVRY,France,4.742662906650000,46.783069610600002,30.000000000000000
36,GRASSE,France,6.926492000000000,43.660153000000001,46.000000000000000
37,GRENOBLE,France,5.724524000000000,45.188529000000003,45.000000000000000
38,LAON,France,3.619890000000000,49.564132999999998,50.000000000000000
39,LEXY,France,5.732377052310000,49.500637054400002,17.500000000000000
40,LILLE,France,3.057256000000000,50.629249999999999,10.000000000000000
41,LIMOGES,France,1.261105000000000,45.833618999999999,25.000000000000000
42,LODEVE,France,3.313975000000000,43.733660000000000,53.000000000000000
43,LUNEL,France,4.135366000000000,43.674450000000000,56.500000000000000
44,LYON,France,4.835659000000000,45.764043000000001,35.000000000000000
45,MARSEILLE,France,5.369780000000000,43.296481999999997,55.000000000000000
46,MARSILLARGUES,France,4.178997039790000,43.665344238300001,50.000000000000000
47,MAUBEUGE,France,3.967400000000000,50.280228000000001,24.000000000000000
48,MILLAU,France,3.077801000000000,44.100574999999999,40.000000000000000
49,MONTAUBAN,France,1.352950000000000,44.016078999999998,40.000000000000000
50,MONTPELLIER,France,3.876716000000000,43.610768999999998,50.000000000000000
51,MOUSTIERS,France,5.624471187590000,43.395618438699998,67.000000000000000
52,NARBONNE,France,3.003078000000000,43.184277000000002,40.000000000000000
53,NAVARRENX,France,-0.761008024216000,43.322254180900003,50.000000000000000
54,ORTHEZ,France,-0.773927900000000,43.487560000000002,10.000000000000000
55,PARIS,France,2.352221900000000,48.856614000000000,26.700000762900000
56,PERPIGNAN,France,2.895871900000000,42.698684000000000,60.000000000000000
57,POITIERS,France,0.340375000000000,46.580224000000001,50.000000000000000
58,REIMS,France,4.031696000000000,49.258329000000003,25.000000000000000
59,ROUEN,France,1.099971000000000,49.443232000000002,45.000000000000000
60,SAINTE MARIE LAUMONT,France,-0.899839997292000,48.921043396000002,50.000000000000000
61,ST-DENIS,France,2.357443000000000,48.936180999999998,30.000000000000000
62,ST-FLOUR,France,3.094862000000000,45.033026000000000,34.000000000000000
63,ST-PIERRE-DE-SOUCY,France,6.106905937190000,45.495048522899999,50.000000000000000
64,TARBES,France,0.078082000000000,43.232951000000000,50.000000000000000
65,TOULON,France,5.928000000000000,43.124228000000002,50.000000000000000
66,TOULOUSE,France,1.444209000000000,43.604652000000002,50.000000000000000
67,TULLE,France,1.771697000000000,45.265650000000001,50.000000000000000
68,UGINE,France,6.419968128200000,45.752937316900002,53.000000000000000
69,AACHEN,Germany,6.083886800000000,50.775345500000000,33.330001831099999
70,AUGSBURG,Germany,10.898255199999999,48.371440700000001,20.833333969100000
71,BADEN-BADEN,Germany,8.228524200000001,48.765639999999998,33.333332061800000
